a,b,c,d,e,f,g,h,,,,,,,
0,0.356,0.444,0.235,0.381,0.269,0.249,0.270,,,,,,,
2,0.501,0.498,0.275,0.478,0.307,0.303,0.297,,,,,,,
4,0.565,0.550,0.296,0.534,0.340,0.327,0.292,,,,,,,
6,0.562,0.639,0.355,0.546,0.393,0.337,0.345,,,,,,,
8,0.555,0.650,0.405,0.601,0.426,0.354,0.354,,,,,,,
10,0.620,0.650,0.440,0.588,0.444,0.362,0.374,,,,,,,
12,0.678,0.690,0.454,0.610,0.497,0.414,0.405,,,,,,,
14,0.740,0.649,0.492,0.659,0.578,0.463,0.413,,,,,,,
16,0.765,0.724,0.504,0.681,0.642,0.473,0.465,,,,,,,
18,0.778,0.763,0.525,0.680,0.679,0.480,0.428,,,,,,,
20,0.790,0.800,0.562,0.733,0.743,0.514,0.424,,,,,,,
