a,b,c,d,e,f,g,h,i,,,,,,,,
0,0.163,0.166,0.130,0.120,0.120,0.160,0.102,0.098,,,,,,,,
10,0.159,0.149,0.130,0.130,0.130,0.220,0.111,0.096,,,,,,,,
20,0.16,0.147,0.130,0.130,0.130,0.280,0.119,0.098,,,,,,,,
30,0.161,0.15,0.130,0.130,0.150,0.310,0.132,0.111,,,,,,,,
40,0.158,0.154,0.130,0.140,0.120,0.360,0.142,0.109,,,,,,,,
50,0.156,0.162,0.130,0.150,0.110,0.380,0.158,0.122,,,,,,,,
60,0.159,0.166,0.130,0.160,0.100,0.410,0.196,0.123,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
